,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายงานรายวิชาที่เปิดสอนให้นิสิตลงทะเบียน,,,,,,,,,,,,,,,,,,,,,,,,,,,
สถานที่จัดการเรียนการสอน มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,,,,,,,,,,,,,,,,,,,,,,,,,,,
ภาคการศึกษา ภาคต้น/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,
วิชา,บรรยาย,,,,,,,ปฎิบัติ,,,,,,อาจารย์ผู้สอน,,,,,,,,,,,,,
,หน่วยกิตรวม,หน่วยกิต,หมู่เรียน,วัน-เวลา,ห้องเรียน,สาขา-ชั้นปีมีสิทธิ์,รับ,หน่วยกิต,หมู่เรียน,วัน-เวลา,ห้องเรียน,สาขา-ชั้นปีมีสิทธิ์,รับ,,,,,,,,,,,,,,
บริหารธุรกิจ,,,,,,,,,,,,,,,,,,,,,,,,,,,
02232232-66 การทดสอบวัสดุวิศวกรรมโยธาและการก่อสร้าง (Civil and Construction Engineering Materials Testing),,,,,,,,1,711,วันจันทร์  13:00-16:00,E6109,E04-3,25,"ชิษณุพงศ์ สุธัมมะ*  , กฤษณะ จันทรโชติ",,,,,,,,,,,,,
,,,,,,,,1,712,วันอังคาร  9:00-12:00,E6109,E04-3,25,"ชิษณุพงศ์ สุธัมมะ*  , กฤษณะ จันทรโชติ",,,,,,,,,,,,,
02232281-66 คณิตศาสตร์ในงานวิศวกรรมโยธา-โครงสร้างพื้นฐาน (Mathematics in Civil Engineering-Infrastructure),2,2,700,วันพฤหัสบดี  8:30-10:30,E6220,E38-2,60,,,,,,,ชิษณุพงศ์ สุธัมมะ* ,,,,,,,,,,,,,
,2,2,833,วันศุกร์  8:30-10:30,E6218,E38-2,50,,,,,,,ชิษณุพงศ์ สุธัมมะ* ,,,,,,,,,,,,,
"02232321-66 การวิเคราะห์โครงสร้าง	 (Structural Analysis)",3,3,700,"วันจันทร์  13:00-14:30,วันอังคาร  13:00-14:30","E6221 , E6218",E38-3,60,,,,,,,นันทวัฒน์ ขมหวาน* ,,,,,,,,,,,,,
,3,3,833,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","E6219 , E6218",E38-3,40,,,,,,,นันทวัฒน์ ขมหวาน* ,,,,,,,,,,,,,
02232322-66 การออกแบบโครงสร้างคอนกรีตเสริมเหล็ก (Design of Reinforced Concrete Structures),4,3,700,วันพุธ  13:00-16:00,E6219,E38-3,60,,,,,,,พงษ์ภวัลย์ ภัทรประภานันท์* ,,,,,,,,,,,,,
,,,,,,,,1,711,วันศุกร์  13:00-16:00,E6219,E38-3,60,พงษ์ภวัลย์ ภัทรประภานันท์* ,,,,,,,,,,,,,
,4,3,833,วันจันทร์  13:00-16:00,E6219,E38-3,40,,,,,,,พงษ์ภวัลย์ ภัทรประภานันท์* ,,,,,,,,,,,,,
,,,,,,,,1,839,วันพฤหัสบดี  9:00-12:00,E6219,E38-3,40,พงษ์ภวัลย์ ภัทรประภานันท์* ,,,,,,,,,,,,,
"02232351-66 กลศาสตร์ของดิน	 (Mechanics of Soil)",3,3,700,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","E6315 , E6315",E38-3,60,,,,,,,กมล อมรฟ้า* ,,,,,,,,,,,,,
,3,3,833,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","E6315 , E6315",E38-3,40,,,,,,,กมล อมรฟ้า* ,,,,,,,,,,,,,
02232352-66 ปฏิบัติการกลศาสตร์ของดิน (Soil Mechanics Laboratory),,,,,,,,1,711,วันพฤหัสบดี  9:00-12:00,E6108,E38-3,30,สมชาย ประยงค์พันธ์* ,,,,,,,,,,,,,
,,,,,,,,1,712,วันพฤหัสบดี  13:00-16:00,E6108,E38-3,30,สมชาย ประยงค์พันธ์* ,,,,,,,,,,,,,
,,,,,,,,1,839,วันอังคาร  9:00-12:00,E6108,E38-3,18,สมชาย ประยงค์พันธ์* ,,,,,,,,,,,,,
,,,,,,,,1,840,วันพุธ  9:00-12:00,E6108,E38-3,40,สมชาย ประยงค์พันธ์* ,,,,,,,,,,,,,
02232381-66 คอมพิวเตอร์และเทคโนโลยีสำหรับวิศวกรรมโยธา (Computer and Technology for Civil Engineering)),3,3,700,วันอังคาร  9:00-12:00,E8302,E38-3,60,,,,,,,บรรพต กุลสุวรรณ* ,,,,,,,,,,,,,
,3,3,833,วันจันทร์  9:00-12:00,E8303,E38-3,40,,,,,,,บรรพต กุลสุวรรณ* ,,,,,,,,,,,,,
วิศวกรรมศาสตร์ ศรีราชา,,,,,,,,,,,,,,,,,,,,,,,,,,,
03600012-67 เทคโนโลยีสีเขียว (Green Technology),3,3,700,วันอังคาร  13:00-16:00,LH3-210,ALL,60,,,,,,,เครือมาศ สมัครการ* ,,,,,,,,,,,,,
03600014-67 การแก้ปัญหาเชิงสร้างสรรค์และทักษะการคิดเชิงวิพากษ์ (Creative Problem Solving and Critical Thinking Skills),3,3,700,"วันจันทร์  10:30-12:00,วันพฤหัสบดี  9:00-10:30","E2210 , E2210",E04-3,60,,,,,,,"ชัยศรี สุขสาโรจน์*  , นิธิรัชต์ สงวนเดือน , ศศิวิมล ขาวโกมล",,,,,,,,,,,,,
ศิลปศาสตร์และวิทยาศาสตร์,,,,,,,,,,,,,,,,,,,,,,,,,,,
02701011-67 การใช้ภาษาไทยเพื่อธุรกิจ วิทยาศาสตร์และเทคโนโลยี (Thai Usage for Business Sciences and Technology),3,3,700,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","LH3-304 , LH3-304","A27-4 , F77-2",120,,,,,,,"อรประพิณ กิตติเวช*  , ปัทมา เหมือนสมัย",,,,,,,,,,,,,
,3,3,701,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","LH3-304 , LH3-304",S02-1,120,,,,,,,"อรประพิณ กิตติเวช*  , ปัทมา เหมือนสมัย",,,,,,,,,,,,,
,3,3,702,"วันจันทร์  16:30-18:00,วันพุธ  16:30-18:00","LH3-304 , LH3-304","T02-1 , E39-1",140,,,,,,,"อรประพิณ กิตติเวช*  , ปัทมา เหมือนสมัย",,,,,,,,,,,,,
,3,3,845,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LH3-201 , LH3-201",E02-6,1,,,,,,,อรประพิณ กิตติเวช* ,,,,,,,,,,,,,
,3,3,861,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LH3-201 , LH3-201","S02-1 , S02-4 , S02-3 , S02-2",50,,,,,,,"อรประพิณ กิตติเวช*  , ปัทมา เหมือนสมัย",,,,,,,,,,,,,
02702111-68 ทักษะการฟังและการพูดภาษาอังกฤษ I (English Listening and Speaking Skills I),3,3,700,"วันอังคาร  9:00-10:30,วันพฤหัสบดี  9:00-10:30","LLB401 , LLB401",Q02-1,45,,,,,,,รัชดาวรรณ คงสัตย์* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","LLB401 , LLB401",Q02-1,45,,,,,,,รัชดาวรรณ คงสัตย์* ,,,,,,,,,,,,,
,3,3,809,ยังไม่มีการกำหนดวัน-เวลาเรียน,ยังไม่มีการกำหนดห้องเรียน,Q02-1,40,,,,,,,รัชดาวรรณ คงสัตย์* ,,,,,,,,,,,,,
,3,3,810,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","LLB401 , LLB401",Q02-1,40,,,,,,,รัชดาวรรณ คงสัตย์* ,,,,,,,,,,,,,
,3,3,811,"วันอังคาร  16:30-18:00,วันพฤหัสบดี  16:30-18:00","LLB401 , LLB401",Q02-1,40,,,,,,,รัชดาวรรณ คงสัตย์* ,,,,,,,,,,,,,
02702131-68 โครงสร้างภาษาอังกฤษ I (English Structure I),3,3,700,"วันอังคาร  9:00-10:30,วันพฤหัสบดี  9:00-10:30","LLB302 , LLB302",Q02-1,45,,,,,,,อรทัย  ชัยญา จรูญธวัชชัย* ,,,,,,,,,,,,,
,3,3,701,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","LLB302 , LLB302",Q02-1,45,,,,,,,อรทัย  ชัยญา จรูญธวัชชัย* ,,,,,,,,,,,,,
,3,3,809,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","LLB305 , LLB305",Q02-1,40,,,,,,,อรทัย  ชัยญา จรูญธวัชชัย* ,,,,,,,,,,,,,
,3,3,810,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","LLB305 , LLB305",Q02-1,40,,,,,,,อรทัย  ชัยญา จรูญธวัชชัย* ,,,,,,,,,,,,,
,3,3,811,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","LLB305 , LLB305",Q02-1,40,,,,,,,อรทัย  ชัยญา จรูญธวัชชัย* ,,,,,,,,,,,,,
02708102-67 วรรณกรรมกับวิทยาศาสตร์ (Literature and Science),3,3,700,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","LH4-304 , LH4-304","Q04-2 , S02-2 , T02-1",300,,,,,,,"ภัทรภร รักเรียน , กาญจนา โรจนพานิช* ",,,,,,,,,,,,,
,3,3,701,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","LH4-304 , LH4-304","Q10-1 , Q26-1 , H13-1",300,,,,,,,"ภัทรภร รักเรียน , กาญจนา โรจนพานิช* ",,,,,,,,,,,,,
,3,3,702,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LH4-503 , LH4-503",H05-4,2,,,,,,,กาญจนา โรจนพานิช* ,,,,,,,,,,,,,
,3,3,825,"วันจันทร์  14:30-16:00,วันพุธ  14:30-16:00","LH4-503 , LH4-503",Q10-1,100,,,,,,,"ภัทรภร รักเรียน , กาญจนา โรจนพานิช* ",,,,,,,,,,,,,
,3,3,861,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","LH4-503 , LH4-503","S02-2 , S02-3 , S02-4",100,,,,,,,"กาญจนา โรจนพานิช*  , ภัทรภร รักเรียน",,,,,,,,,,,,,
,3,3,866,"วันอังคาร  9:00-10:30,วันพฤหัสบดี  9:00-10:30","LH4-503 , LH4-503",Q26-1,100,,,,,,,"กาญจนา โรจนพานิช*  , ภัทรภร รักเรียน",,,,,,,,,,,,,
,3,3,878,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LH4-503 , LH4-503",H13-1,100,,,,,,,"กาญจนา โรจนพานิช*  , ภัทรภร รักเรียน",,,,,,,,,,,,,
02714101-67 การคิดเชิงวิพากษ์และการแก้ปัญหา (Critical Thinking and Problem Solving),3,3,700,วันอังคาร  13:00-16:00,LH4-304,"E24-4 , F80-1 , F77-3 , F80-3",320,,,,,,,วรท อุณหสุทธิยานนท์* ,,,,,,,,,,,,,
,3,3,701,วันพฤหัสบดี  9:00-12:00,LH4-302,Q08-2,300,,,,,,,วรท อุณหสุทธิยานนท์* ,,,,,,,,,,,,,
,3,3,815,วันพฤหัสบดี  13:00-16:00,LH3-303,Q08-2,124,,,,,,,วรท อุณหสุทธิยานนท์* ,,,,,,,,,,,,,
02717011-67 ตนและการพัฒนาตน (Self and Self Development),3,3,700,วันพุธ  14:30-17:30,LH4-101,"Q26-2 , H11-2",180,,,,,,,พัชรา จตุรโกมล* ,,,,,,,,,,,,,
,3,3,701,วันอังคาร  13:00-16:00,LH3-304,F39-1,120,,,,,,,พัชรา จตุรโกมล* ,,,,,,,,,,,,,
,3,3,866,วันพุธ  9:00-12:00,KH80-201,"Q26-2 , Q26-5",100,,,,,,,พัชรา จตุรโกมล* ,,,,,,,,,,,,,
02717112-67 การเมืองไทยร่วมสมัย (Contemporary Thai Politics),3,3,700,วันพุธ  16:00-19:00,LH4-503,"Q26-1 , Q03-3",130,,,,,,,"ยุภาพร ต๊ะรังษี*  , ขนิษฐา สุขสง , กฤช วีรกุล",,,,,,,,,,,,,
,3,3,701,วันพุธ  16:00-19:00,LH4-503,ALL,50,,,,,,,"ยุภาพร ต๊ะรังษี*  , ขนิษฐา สุขสง , กฤช วีรกุล",,,,,,,,,,,,,
,3,3,800,วันศุกร์  13:00-16:00,LH4-503,Q03-3,60,,,,,,,"ยุภาพร ต๊ะรังษี*  , ขนิษฐา สุขสง , กฤช วีรกุล",,,,,,,,,,,,,
,3,3,845,วันอังคาร  16:00-19:00,LH4-306,E06,2,,,,,,,"ขนิษฐา สุขสง , กฤช วีรกุล , ยุภาพร ต๊ะรังษี* ",,,,,,,,,,,,,
,3,3,866,วันอังคาร  16:00-19:00,LH4-306,Q26-1,100,,,,,,,"ยุภาพร ต๊ะรังษี*  , ขนิษฐา สุขสง , กฤช วีรกุล",,,,,,,,,,,,,
02721121-67 การจัดการธุรกิจเพื่อสังคมที่ยั่งยืน (Business Management for Social Sustainability),3,3,700,วันอังคาร  16:30-19:30,LH3-303,"Q03-2 , Q28-2",150,,,,,,,"พงศ์พันธ์ ศรีเมือง*  , โสภณ สระทองมา",,,,,,,,,,,,,
,3,3,701,วันพุธ  16:30-19:30,LH3-302,"Q05-2 , S02-2",210,,,,,,,"พงศ์พันธ์ ศรีเมือง*  , โสภณ สระทองมา",,,,,,,,,,,,,
,3,3,702,วันพุธ  13:00-16:00,LH3-302,"H01-1 , H03-1 , H12-1",340,,,,,,,"พงศ์พันธ์ ศรีเมือง*  , โสภณ สระทองมา",,,,,,,,,,,,,
,3,3,800,วันพฤหัสบดี  16:30-19:30,LH3-303,Q03-2,100,,,,,,,"พงศ์พันธ์ ศรีเมือง*  , โสภณ สระทองมา",,,,,,,,,,,,,
,3,3,820,วันอังคาร  13:00-16:00,LH3-303,Q05-2,100,,,,,,,"พงศ์พันธ์ ศรีเมือง*  , โสภณ สระทองมา",,,,,,,,,,,,,
,3,3,861,วันพฤหัสบดี  13:00-16:00,LH3-205,"S02-2 , S02-3 , S02-4",50,,,,,,,"พงศ์พันธ์ ศรีเมือง*  , โสภณ สระทองมา",,,,,,,,,,,,,
,3,3,870,วันจันทร์  16:30-19:30,LH4-301,H01-1,150,,,,,,,"พงศ์พันธ์ ศรีเมือง*  , โสภณ สระทองมา",,,,,,,,,,,,,
,3,3,872,วันจันทร์  13:00-16:00,LH3-303,H03-1,120,,,,,,,"พงศ์พันธ์ ศรีเมือง*  , โสภณ สระทองมา",,,,,,,,,,,,,
02724011-67 การสื่อสารระหว่างวัฒนธรรม (Intercultural Communication),3,3,700,วันอังคาร  14:30-17:30,LH3-301,"H11-1 , H11-2",150,,,,,,,ปัทมา เหมือนสมัย* ,,,,,,,,,,,,,
,3,3,855,วันอังคาร  9:00-12:00,LH3-301,"H11-1 , H11-2",270,,,,,,,ปัทมา เหมือนสมัย* ,,,,,,,,,,,,,
,3,3,856,วันพฤหัสบดี  14:30-17:30,LH3-301,"H11-1 , H11-2",260,,,,,,,ปัทมา เหมือนสมัย* ,,,,,,,,,,,,,
,3,3,857,วันศุกร์  9:00-12:00,LH4-302,H11-2,250,,,,,,,ปัทมา เหมือนสมัย* ,,,,,,,,,,,,,
02724012-67 การพัฒนาบุคลิกภาพ (Personality Development),3,3,815,วันศุกร์  13:00-16:00,LH4-201,"Q08-4 , Q08-2 , Q08-3",90,,,,,,,อรประพิณ กิตติเวช* ,,,,,,,,,,,,,
02726311-61 การอนุรักษ์เชิงชีววิทยา (Biological Conservation),3,3,700,ยังไม่มีการกำหนดวัน-เวลาเรียน,ยังไม่มีการกำหนดห้องเรียน,ALL,10,,,,,,,สราวุธ คลอวุฒิมันตร์* ,,,,,,,,,,,,,
02726312-61 ชีววิทยาและนิเวศวิทยาพืชน้ำ (Biology and Ecology of Aquatic Flora),3,3,700,ยังไม่มีการกำหนดวัน-เวลาเรียน,ยังไม่มีการกำหนดห้องเรียน,"Q04-3 , Q04-4",5,,,,,,,บงกช วิชาชูเชิด* ,,,,,,,,,,,,,
02727104-67 สิ่งมีชีวิตกับภัยพิบัติทางธรรมชาติ (Living Things and Natural Disasters),3,3,700,วันพุธ  16:00-19:00,LH2-302,ALL,150,,,,,,,อรพรรณ ศังขจันทรานนท์* ,,,,,,,,,,,,,
,3,3,701,วันศุกร์  16:00-19:00,LH2-302,ALL,150,,,,,,,อรพรรณ ศังขจันทรานนท์* ,,,,,,,,,,,,,
02727201-64 พืชในชีวิตประจำวัน (Plant in everyday life),3,3,700,วันอังคาร  16:00-19:00,LH4-101,ALL,110,,,,,,,"สหณัฐ เพชรศรี*  , อินทิรา ขูดแก้ว , ทิพรดา พูลสวัสดิ์ , พิมพ์ชนก สตภูมินทร์ , วิภาดา กันทยศ",,,,,,,,,,,,,
02727202-64 พืชและมนุษย์ (Plants and Man),3,3,700,วันพฤหัสบดี  16:00-19:00,LH4-502,ALL,100,,,,,,,"สหณัฐ เพชรศรี*  , กิตติพจน์ เพิ่มพูล , ศิริพร ศรีภิญโญวณิชย์ , อรพรรณ ศังขจันทรานนท์ , พรไพรินทร์ รุ่งเจริญทอง",,,,,,,,,,,,,
02727311-65 สารประกอบในพืช (Plant Metabolites),3,3,700,วันศุกร์  9:00-12:00,LH3-201,Q28-3,33,,,,,,,"อินทิรา ขูดแก้ว*  , วิภาดา กันทยศ , พรไพรินทร์ รุ่งเจริญทอง",,,,,,,,,,,,,
02727312-65 มาตรฐานสำหรับผลิตภัณฑ์จากพืช (Standards for Plant-Derived Products),3,3,700,วันพฤหัสบดี  9:00-12:00,LH3-201,Q28-3,33,,,,,,,"พิมพ์ชนก สตภูมินทร์*  , พรไพรินทร์ รุ่งเจริญทอง",,,,,,,,,,,,,
02727321-65 พฤกษนวัตกรรมสำหรับที่อยู่อาศัย (Innovative Botany for Habitation),3,2,700,ติดต่อผู้สอน,ติดต่อผู้สอน,"Q28-3 , Q28-4",20,,,,,,,"อรพรรณ ศังขจันทรานนท์*  , สหณัฐ เพชรศรี",,,,,,,,,,,,,
,,,,,,,,1,711,ติดต่อผู้สอน,ติดต่อผู้สอน,"Q28-3 , Q28-4",20,"อรพรรณ ศังขจันทรานนท์*  , สหณัฐ เพชรศรี",,,,,,,,,,,,,
02727322-65 พฤกษนวัตกรรมและการเปลี่ยนแปลงสภาพภูมิอากาศ (Innovative Botany and Climate Change),3,3,700,วันจันทร์  16:00-19:00,SC3-204,"Q28-3 , Q28-4",40,,,,,,,"กิตติพจน์ เพิ่มพูล*  , พิมพ์ชนก สตภูมินทร์ , พรไพรินทร์ รุ่งเจริญทอง",,,,,,,,,,,,,
02727331-65 เทคนิคทางพฤกษเคมีวิเคราะห์ (Techniques in Phytochemical Analysis),3,2,700,วันพุธ  10:30-12:30,SC3-206,"Q28-3 , Q28-4",14,,,,,,,"อินทิรา ขูดแก้ว*  , วิภาดา กันทยศ",,,,,,,,,,,,,
,,,,,,,,1,711,วันพุธ  13:00-16:00,SC3-206,"Q28-3 , Q28-4",14,"อินทิรา ขูดแก้ว*  , วิภาดา กันทยศ",,,,,,,,,,,,,
02727399-65 การฝึกงานทางพฤกษนวัตกรรม (Innovative Botany Practicum),,,,,,,,3,711,ติดต่อผู้สอน,ติดต่อผู้สอน,Q28-4,26,อินทิรา ขูดแก้ว* ,,,,,,,,,,,,,
02727490-65 สหกิจศึกษา (Cooperative Education),,,,,,,,6,711,ติดต่อผู้สอน,ติดต่อผู้สอน,Q28-4,7,ศิริพร ศรีภิญโญวณิชย์* ,,,,,,,,,,,,,
02727496-65 เรื่องเฉพาะทางพฤกษนวัตกรรม (Selected Topics in Innovative Botany),3,1,700,ติดต่อผู้สอน,ติดต่อผู้สอน,Q28-4,20,,,,,,,"พิมพ์ชนก สตภูมินทร์*  , พรไพรินทร์ รุ่งเจริญทอง , กิตติพจน์ เพิ่มพูล",,,,,,,,,,,,,
,3,1,701,ติดต่อผู้สอน,ติดต่อผู้สอน,Q28-4,20,,,,,,,อรพรรณ ศังขจันทรานนท์* ,,,,,,,,,,,,,
02728101-67 เคมีในชีวิตสมัยใหม่ (Chemistry in Modern Life),3,3,700,วันศุกร์  9:00-12:00,LH4-201,ALL,200,,,,,,,"วรางคณา จิตตชุ่ม*  , บุญเดช เบิกฟ้า , นงพงา จรัสโสภณ , ศศิวดี บุญญะอุทธยาน",,,,,,,,,,,,,
02731111-65 แคลคูลัสหนึ่งตัวแปร (Calculus of One Variable),3,3,700,"วันอังคาร  10:30-12:00,วันพฤหัสบดี  10:30-12:00","LH4-306 , LH4-306","F79-1 , Q11-1",200,,,,,,,แสงแข สุวรรณสุนทร* ,,,,,,,,,,,,,
02731141-65 การพิสูจน์ทางคณิตศาสตร์ (Mathematical Proofs),3,3,700,"วันอังคาร  16:00-17:30,วันพฤหัสบดี  16:00-17:30","LH4-303 , LH4-303","Q11 , F79",150,,,,,,,เอกชัย สุนทรศิลสังวร* ,,,,,,,,,,,,,
02731211-65 แคลคูลัสเชิงเวกเตอร์ (Vector Calculus),3,3,700,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","KH80-208 , KH80-208","Q11-2 , Q11-3 , Q11-4X , F79-2 , F79-3 , F79-4X",120,,,,,,,เอกชัย สุนทรศิลสังวร* ,,,,,,,,,,,,,
02731231-65 สมการเชิงอนุพันธ์ (Differential Equations),3,3,700,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LH3-305 , LH3-305","Q11-2 , Q11-3 , Q11-4X , F79-2 , F79-3 , F79-4X",100,,,,,,,ศศิธร อุดปิน* ,,,,,,,,,,,,,
02731262-65 คณิตศาสตร์ธุรกิจ (Business Mathematics),3,3,700,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","LH4-202 , LH4-202","Q11-4 , Q28-2 , Q28-3 , Q28-4X",100,,,,,,,แสงแข สุวรรณสุนทร* ,,,,,,,,,,,,,
02731281-65 วิทยาการข้อมูลขั้นพื้นฐานสำหรับคณิตศาสตร์ประยุกต์ (Foundation of Data Science for Applied  Mathematics),3,3,700,"วันอังคาร  8:30-10:00,วันพฤหัสบดี  8:30-10:00","SC14-114 , SC14-114",Q11-2,100,,,,,,,ธนิษฐา โกวรรณ์* ,,,,,,,,,,,,,
02731321-65 กำหนดการเชิงเส้น (Linear Programming),3,3,700,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","SC9-301 , SC9-301","Q11-3 , Q11-4X",70,,,,,,,ทิพวรรณ พุทธสนธิพจน์* ,,,,,,,,,,,,,
02731322-65 พีชคณิตนามธรรม (Abstract Algebra),3,3,700,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LH4-505 , LH4-505","Q11-3 , Q11-4X , F79-3",60,,,,,,,วัชรินทร รักษาศักดิ์ชัย* ,,,,,,,,,,,,,
02731341-65 การวิเคราะห์เชิงจริง (Real Analysis),3,3,700,"วันอังคาร  8:30-10:00,วันพฤหัสบดี  8:30-10:00","LH4-202 , LH4-202","Q11-3 , F79-3",100,,,,,,,วิเนตร แสนหาญ* ,,,,,,,,,,,,,
02731351-65 คณิตศาสตร์เชิงการจัด (Combinatorial Mathematics),3,3,700,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","SC9-301 , SC9-301",Q11-4,50,,,,,,,สุจิตรา แสนหาญ* ,,,,,,,,,,,,,
02731371-65 การวิเคราะห์เชิงตัวเลข (Numerical Analysis),3,3,700,"วันพุธ  10:30-12:00,วันศุกร์  9:00-10:30","LH4-503 , LH4-503",Q11-3,60,,,,,,,สิทธิพงศ์ รักตะเมธากูล* ,,,,,,,,,,,,,
02731381-65 คณิตศาสตร์กับโปรแกรมพื้นฐานสำหรับงานวิทยาการข้อมูล (mathematics with Basic Programming for Data Science),3,2,700,"วันอังคาร  10:00-12:00,วันพฤหัสบดี  10:00-12:00","SC9-332 , SC14-114",Q11-3,60,,,,,,,โรจนี ขุมมงคล* ,,,,,,,,,,,,,
,,,,,,,,1,711,"วันอังคาร  10:00-12:00,วันพฤหัสบดี  10:00-12:00","SC9-332 , SC14-114",Q11-3,60,โรจนี ขุมมงคล* ,,,,,,,,,,,,,
02731474-65 ทฤษฎีรหัส (Coding Theory),3,3,700,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","SC9-301 , SC9-301",Q11-4,40,,,,,,,ทิพวรรณ พุทธสนธิพจน์* ,,,,,,,,,,,,,
02731499-65 โครงงานคณิตศาสตร์ประยุกต์ (Applied Mathematics Project),,,,,,,,3,711,วันเสาร์  9:00-12:00,ติดต่อผู้สอน,Q11-4,60,สุจิตรา แสนหาญ* ,,,,,,,,,,,,,
,,,,,,,,3,712,วันเสาร์  9:00-12:00,ติดต่อผู้สอน,Q11-4,60,พรพิศ ยิ้มประยูร* ,,,,,,,,,,,,,
,,,,,,,,3,713,วันเสาร์  9:00-12:00,ติดต่อผู้สอน,Q11-4,60,วิเนตร แสนหาญ* ,,,,,,,,,,,,,
,,,,,,,,3,714,วันเสาร์  9:00-12:00,ติดต่อผู้สอน,Q11-4,60,ทิพวรรณ พุทธสนธิพจน์* ,,,,,,,,,,,,,
,,,,,,,,3,715,วันเสาร์  9:00-12:00,ติดต่อผู้สอน,Q11-4,60,ธนิษฐา โกวรรณ์* ,,,,,,,,,,,,,
,,,,,,,,3,716,วันเสาร์  9:00-12:00,ติดต่อผู้สอน,Q11-4,60,โรจนี ขุมมงคล* ,,,,,,,,,,,,,
,,,,,,,,3,717,วันเสาร์  9:00-12:00,ติดต่อผู้สอน,Q11-4X,60,แสงแข สุวรรณสุนทร* ,,,,,,,,,,,,,
"02733103-00 แสง สี และการถ่ายภาพ (Light, Color, and Photography)",3,2,700,ติดต่อผู้สอน,ติดต่อผู้สอน,ALL,10,,,,,,,"บุษรา พัฒนศิริ*  , พีรพงศ์ ยศประยูรศักดิ์",,,,,,,,,,,,,
"02733104-00 โลก บรรยากาศ และอวกาศ (Earth, Atmosphere ans space)",3,3,700,ติดต่อผู้สอน,ติดต่อผู้สอน,ALL,50,,,,,,,"ศศิมลฑล ม่วงศรีจันทร์*  , ฤดีรัตน์ สันตะโก , ภัทรพงศ์ รักน้อย , สุชีวัน กรอบทอง",,,,,,,,,,,,,
02738312-66 หลักการจัดระบบและอนุกรมวิธาน (Principles of Systematics and Taxonomy),3,3,700,วันศุกร์  9:00-12:00,SC4-307,"Q04-3 , Q04-4",35,,,,,,,สราวุธ คลอวุฒิมันตร์* ,,,,,,,,,,,,,
02738313-66 ปฏิบัติการหลักการจัดระบบและอนุกรมวิธาน (Laboratory in Principles of Systematics and Taxonomy),,,,,,,,1,711,วันศุกร์  13:00-16:00,SC4-307,"Q04-3 , Q04-4",35,สราวุธ คลอวุฒิมันตร์* ,,,,,,,,,,,,,
02738314-66 นิเวศวิทยาชายฝั่ง (Coastal Ecology),3,3,700,ยังไม่มีการกำหนดวัน-เวลาเรียน,ยังไม่มีการกำหนดห้องเรียน,"Q04-3 , Q04-4",5,,,,,,,บงกช วิชาชูเชิด* ,,,,,,,,,,,,,
02738341-66 เทคนิคการเพาะเลี้ยงเนื้อเยื่อสำหรับพืชเศรษฐกิจ (Tissue Culture Techniques for Economic Crops),3,2,700,ยังไม่มีการกำหนดวัน-เวลาเรียน,ยังไม่มีการกำหนดห้องเรียน,"3 , 4",8,,,,,,,ปิยะมาศ ศรีรัตน์* ,,,,,,,,,,,,,
,,,,,,,,1,711,ยังไม่มีการกำหนดวัน-เวลาเรียน,ยังไม่มีการกำหนดห้องเรียน,"Q04-3 , Q04-4",4,ปิยะมาศ ศรีรัตน์* ,,,,,,,,,,,,,
,,,,,,,,1,712,ยังไม่มีการกำหนดวัน-เวลาเรียน,ยังไม่มีการกำหนดห้องเรียน,"3 , 4",4,ปิยะมาศ ศรีรัตน์* ,,,,,,,,,,,,,
